Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
Chicken dener,сеть кафе быстрого питания,Быстрое питание,"Шахтёров, 35",,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,88005000007,,,bridov@list.ru,otdel-kachestvo@mail.ru,http://chickendener.ru,,,https://vk.com/chiken_dener,,,56.036891,92.891543,https://2gis.com/firm/70000001024357273
БУРГЕР КЛАБ,ресторан быстрого питания,Быстрое питание; Кафе; Доставка готовых блюд,"Партизана Железняка, 23",3 этаж,660133,Иннокентьевский,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83912140797,,,burgerclubkras@mail.ru,,http://burgerclubkras.ru,,,https://vk.com/burgerclub.krsk,,,56.037475,92.933548,https://2gis.com/firm/70000001026727730
Simple food,,Быстрое питание; Доставка готовых блюд,"Ярыгинская набережная, 21",,660012,Пашенный,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,83912196996,,,simplefood.krsk@mail.ru,,http://Simplefood24.ru,,,https://vk.com/simple_food24,,,55.988989,92.856135,https://2gis.com/firm/70000001060098098
Magic burger,"кафе по продаже шаурмы, бургеров и денера",Быстрое питание; Доставка готовых блюд; Кафе,"Ленина, 112",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+07:00,89233547535,83912147535,,2147535@bk.ru,,http://magic-burger.ru,,,https://vk.com/magic_burger,,,56.013004,92.856892,https://2gis.com/firm/70000001059293903
KFC,сеть ресторанов быстрого обслуживания,Быстрое питание; Доставка готовых блюд,"проспект Мира, 45",1 этаж,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+07:00,84952408424,84952408424,83912346454,,,http://kfc.ru/?utm_source=2gis_mgcom&utm_medium,,,https://vk.com/kfcrussia,,,56.012135,92.875374,https://2gis.com/firm/985690699700667
Бургер Кинг,сеть ресторанов быстрого питания,Быстрое питание; Доставка готовых блюд,"Академика Вавилова, 1 ст39",1 этаж,660064,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:50; Вт: 10:00-21:50; Ср: 10:00-21:50; Чт: 10:00-21:50; Пт: 10:00-21:50; Сб: 10:00-21:50; Вс: 10:00-21:50,+07:00,84955445000,,,feedback@burgerking.ru,,http://burgerkingrus.ru,,,https://vk.com/burgerking,https://youtube.com/user/BurgerKingRU,,55.991999,92.910692,https://2gis.com/firm/70000001040713032
Грильница,сеть ресторанов быстрого питания,Быстрое питание; Доставка готовых блюд,"проспект Металлургов, 53",салон Цирюльникъ,660133,Иннокентьевский,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+07:00,83912008111,,,control@grilnica.ru,,http://grilnica.ru/krasnoyarsk/?utm_source=2gis&utm_medium=cpc&utm_campaign=krasnoyarsk,,,https://vk.com/grilnica_krasnoyarsk,,,56.046606,92.949481,https://2gis.com/firm/70000001054829405
Plove,пловная,Кафе; Доставка готовых блюд; Быстрое питание,"Молокова, 1/1",,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,83912545007,89135539099,,plove24@mail.ru,,,,,,,,56.046862,92.916597,https://2gis.com/firm/70000001042504095
DёnDёner,кафе быстрого питания,Быстрое питание; Доставка готовых блюд,"Ленина, 23",,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+07:00,89235706649,,,kitus99@mail.ru,,,,,https://vk.com/dener24,,,56.014159,92.883134,https://2gis.com/firm/70000001024128969
ШАУРМАркет,,Быстрое питание,"Молокова, 1 ст1",,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,89535856073,,,,,,,,https://vk.com/club190765145,,,56.046176,92.916979,https://2gis.com/firm/70000001040421621
